Age ,Gender ,MaritalStatus ,Department             ,JobRole                   ,JobLevel ,JobInvolvement ,JobSatisfaction ,MonthlyIncome ,HourlyRate ,DailyRate ,MonthlyRate ,TotalWorkingYears ,YearsAtCompany ,YearsInCurrentRole ,YearsSinceLastPromotion ,YearsWithCurrManager ,BusinessTravel    ,DistanceFromHome ,Education ,EducationField   ,EnvironmentSatisfaction ,RelationshipSatisfaction ,WorkLifeBalance ,NumCompaniesWorked ,OverTime ,PercentSalaryHike ,PerformanceRating ,StockOptionLevel ,TrainingTimesLastYear ,EmployeeCount ,EmployeeNumber ,Over18 ,StandardHours ,Attrition
 41 ,Female ,Single        ,Sales                  ,Sales Executive           ,       2 ,             3 ,              4 ,         5993 ,        94 ,     1102 ,      19479 ,                8 ,             6 ,                 4 ,                      0 ,                   5 ,Travel_Rarely     ,               1 ,        2 ,Life Sciences    ,                      2 ,                       1 ,              1 ,                 8 ,Yes      ,               11 ,                3 ,               0 ,                    0 ,            1 ,             1 ,Y      ,           80 ,Yes
 49 ,Male   ,Married       ,Research & Development ,Research Scientist        ,       2 ,             2 ,              2 ,         5130 ,        61 ,      279 ,      24907 ,               10 ,            10 ,                 7 ,                      1 ,                   7 ,Travel_Frequently ,               8 ,        1 ,Life Sciences    ,                      3 ,                       4 ,              3 ,                 1 ,No       ,               23 ,                4 ,               1 ,                    3 ,            1 ,             2 ,Y      ,           80 ,No
 37 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       1 ,             2 ,              3 ,         2090 ,        92 ,     1373 ,       2396 ,                7 ,             0 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,               2 ,        2 ,Other            ,                      4 ,                       2 ,              3 ,                 6 ,Yes      ,               15 ,                3 ,               0 ,                    3 ,            1 ,             4 ,Y      ,           80 ,Yes
 33 ,Female ,Married       ,Research & Development ,Research Scientist        ,       1 ,             3 ,              3 ,         2909 ,        56 ,     1392 ,      23159 ,                8 ,             8 ,                 7 ,                      3 ,                   0 ,Travel_Frequently ,               3 ,        4 ,Life Sciences    ,                      4 ,                       3 ,              3 ,                 1 ,Yes      ,               11 ,                3 ,               0 ,                    3 ,            1 ,             5 ,Y      ,           80 ,No
 27 ,Male   ,Married       ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              2 ,         3468 ,        40 ,      591 ,      16632 ,                6 ,             2 ,                 2 ,                      2 ,                   2 ,Travel_Rarely     ,               2 ,        1 ,Medical          ,                      1 ,                       4 ,              3 ,                 9 ,No       ,               12 ,                3 ,               1 ,                    3 ,            1 ,             7 ,Y      ,           80 ,No
 32 ,Male   ,Single        ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              4 ,         3068 ,        79 ,     1005 ,      11864 ,                8 ,             7 ,                 7 ,                      3 ,                   6 ,Travel_Frequently ,               2 ,        2 ,Life Sciences    ,                      4 ,                       3 ,              2 ,                 0 ,No       ,               13 ,                3 ,               0 ,                    2 ,            1 ,             8 ,Y      ,           80 ,No
 59 ,Female ,Married       ,Research & Development ,Laboratory Technician     ,       1 ,             4 ,              1 ,         2670 ,        81 ,     1324 ,       9964 ,               12 ,             1 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,               3 ,        3 ,Medical          ,                      3 ,                       1 ,              2 ,                 4 ,Yes      ,               20 ,                4 ,               3 ,                    3 ,            1 ,            10 ,Y      ,           80 ,No
 30 ,Male   ,Divorced      ,Research & Development ,Laboratory Technician     ,       1 ,             3 ,              3 ,         2693 ,        67 ,     1358 ,      13335 ,                1 ,             1 ,                 0 ,                      0 ,                   0 ,Travel_Rarely     ,              24 ,        1 ,Life Sciences    ,                      4 ,                       2 ,              3 ,                 1 ,No       ,               22 ,                4 ,               1 ,                    2 ,            1 ,            11 ,Y      ,           80 ,No
 38 ,Male   ,Single        ,Research & Development ,Manufacturing Director    ,       3 ,             2 ,              3 ,         9526 ,        44 ,      216 ,       8787 ,               10 ,             9 ,                 7 ,                      1 ,                   8 ,Travel_Frequently ,              23 ,        3 ,Life Sciences    ,                      4 ,                       2 ,              3 ,                 0 ,No       ,               21 ,                4 ,               0 ,                    2 ,            1 ,            12 ,Y      ,           80 ,No
 36 ,Male   ,Married       ,Research & Development ,Healthcare Representative ,       2 ,             3 ,              3 ,         5237 ,        94 ,     1299 ,      16577 ,               17 ,             7 ,                 7 ,                      7 ,                   7 ,Travel_Rarely     ,              27 ,        3 ,Medical          ,                      3 ,                       2 ,              2 ,                 6 ,No       ,               13 ,                3 ,               2 ,                    3 ,            1 ,            13 ,Y      ,           80 ,No
