     ,Age ,JobLevel            ,JobInvolvement ,JobSatisfaction ,MonthlyIncome           ,TotalWorkingYears ,YearsAtCompany ,YearsInCurrentRole ,YearsSinceLastPromotion ,YearsWithCurrManager ,DistanceFromHome ,Education ,EnvironmentSatisfaction ,RelationshipSatisfaction ,WorkLifeBalance ,NumCompaniesWorked ,PercentSalaryHike ,PerformanceRating ,StockOptionLevel ,TrainingTimesLastYear ,Attrition ,Gender_Female ,Gender_Male ,MaritalStatus_Divorced ,MaritalStatus_Married ,MaritalStatus_Single ,Department_Human Resources ,Department_Research & Development ,Department_Sales ,JobRole_Healthcare Representative ,JobRole_Human Resources ,JobRole_Laboratory Technician ,JobRole_Manager ,JobRole_Manufacturing Director ,JobRole_Research Director ,JobRole_Research Scientist ,JobRole_Sales Executive ,JobRole_Sales Representative ,BusinessTravel_Non-Travel ,BusinessTravel_Travel_Frequently ,BusinessTravel_Travel_Rarely ,EducationField_Human Resources ,EducationField_Life Sciences ,EducationField_Marketing ,EducationField_Medical ,EducationField_Other ,EducationField_Technical Degree ,OverTime_No ,OverTime_Yes
   0 , 41 ,0.24162209711567809 ,             3 ,              4 ,0.28694974752240665     ,              8.0 ,           6.0 ,               4.0 ,-1.0979508909510696     ,                   5 ,               1 ,        2 ,                      2 ,                       1 ,              1 ,                 8 ,               11 ,                3 ,               0 ,                    0 ,        1 ,          1.0 ,        0.0 ,                   0.0 ,                  0.0 ,                 1.0 ,                       0.0 ,                              0.0 ,             1.0 ,                              0.0 ,                    0.0 ,                          0.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       0.0 ,                    1.0 ,                         0.0 ,                      0.0 ,                             0.0 ,                         1.0 ,                           0.0 ,                         1.0 ,                     0.0 ,                   0.0 ,                 0.0 ,                            0.0 ,        0.0 ,         1.0
   1 , 49 ,0.24162209711567809 ,             2 ,              2 ,0.04905126954462902     ,             10.0 ,          10.0 ,               7.0 ,0.09363795813772066     ,                   7 ,               8 ,        1 ,                      3 ,                       4 ,              3 ,                 1 ,               23 ,                4 ,               1 ,                    3 ,        0 ,          0.0 ,        1.0 ,                   0.0 ,                  1.0 ,                 0.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          0.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       1.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             1.0 ,                         0.0 ,                           0.0 ,                         1.0 ,                     0.0 ,                   0.0 ,                 0.0 ,                            0.0 ,        1.0 ,         0.0
   2 , 37 ,-1.1701349128380225 ,             2 ,              3 ,-1.4462409801706582     ,              7.0 ,           0.0 ,               0.0 ,-1.0979508909510696     ,                   0 ,               2 ,        2 ,                      4 ,                       2 ,              3 ,                 6 ,               15 ,                3 ,               0 ,                    3 ,        1 ,          0.0 ,        1.0 ,                   0.0 ,                  0.0 ,                 1.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          1.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       0.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             0.0 ,                         1.0 ,                           0.0 ,                         0.0 ,                     0.0 ,                   0.0 ,                 1.0 ,                            0.0 ,        0.0 ,         1.0
   3 , 33 ,-1.1701349128380225 ,             3 ,              3 ,-0.8706357279327388     ,              8.0 ,           8.0 ,               7.0 ,0.932624551643783       ,                   0 ,               3 ,        4 ,                      4 ,                       3 ,              3 ,                 1 ,               11 ,                3 ,               0 ,                    3 ,        0 ,          1.0 ,        0.0 ,                   0.0 ,                  1.0 ,                 0.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          0.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       1.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             1.0 ,                         0.0 ,                           0.0 ,                         1.0 ,                     0.0 ,                   0.0 ,                 0.0 ,                            0.0 ,        0.0 ,         1.0
   4 , 27 ,-1.1701349128380225 ,             3 ,              2 ,-0.5767535582697534     ,              6.0 ,           2.0 ,               2.0 ,0.6197033290330628      ,                   2 ,               2 ,        1 ,                      1 ,                       4 ,              3 ,                 9 ,               12 ,                3 ,               1 ,                    3 ,        0 ,          0.0 ,        1.0 ,                   0.0 ,                  1.0 ,                 0.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          1.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       0.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             0.0 ,                         1.0 ,                           0.0 ,                         0.0 ,                     0.0 ,                   1.0 ,                 0.0 ,                            0.0 ,        1.0 ,         0.0
   5 , 32 ,-1.1701349128380225 ,             3 ,              4 ,-0.7807893960214453     ,              8.0 ,           7.0 ,               7.0 ,0.932624551643783       ,                   6 ,               2 ,        2 ,                      4 ,                       3 ,              2 ,                 0 ,               13 ,                3 ,               0 ,                    2 ,        0 ,          0.0 ,        1.0 ,                   0.0 ,                  0.0 ,                 1.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          1.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       0.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             1.0 ,                         0.0 ,                           0.0 ,                         1.0 ,                     0.0 ,                   0.0 ,                 0.0 ,                            0.0 ,        1.0 ,         0.0
   6 , 59 ,-1.1701349128380225 ,             4 ,              1 ,-1.0169862223628072     ,             12.0 ,           1.0 ,               0.0 ,-1.0979508909510696     ,                   0 ,               3 ,        3 ,                      3 ,                       1 ,              2 ,                 4 ,               20 ,                4 ,               3 ,                    3 ,        0 ,          1.0 ,        0.0 ,                   0.0 ,                  1.0 ,                 0.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          1.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       0.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             0.0 ,                         1.0 ,                           0.0 ,                         0.0 ,                     0.0 ,                   1.0 ,                 0.0 ,                            0.0 ,        0.0 ,         1.0
   7 , 30 ,-1.1701349128380225 ,             3 ,              3 ,-1.0022538891907937     ,              1.0 ,           1.0 ,               0.0 ,-1.0979508909510696     ,                   0 ,              24 ,        1 ,                      4 ,                       2 ,              3 ,                 1 ,               22 ,                4 ,               1 ,                    2 ,        0 ,          0.0 ,        1.0 ,                   1.0 ,                  0.0 ,                 0.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          1.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       0.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             0.0 ,                         1.0 ,                           0.0 ,                         1.0 ,                     0.0 ,                   0.0 ,                 0.0 ,                            0.0 ,        1.0 ,         0.0
   8 , 38 ,1.0098224046128177  ,             2 ,              3 ,0.9620355705599216      ,             10.0 ,           9.0 ,               7.0 ,0.09363795813772066     ,                   8 ,              23 ,        3 ,                      4 ,                       2 ,              3 ,                 0 ,               21 ,                4 ,               0 ,                    2 ,        0 ,          0.0 ,        1.0 ,                   0.0 ,                  0.0 ,                 1.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              0.0 ,                    0.0 ,                          0.0 ,            0.0 ,                           1.0 ,                      0.0 ,                       0.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             1.0 ,                         0.0 ,                           0.0 ,                         1.0 ,                     0.0 ,                   0.0 ,                 0.0 ,                            0.0 ,        1.0 ,         0.0
   9 , 36 ,0.24162209711567809 ,             3 ,              3 ,0.080976109160486       ,             17.0 ,           7.0 ,               7.0 ,1.5233471860668726      ,                   7 ,              27 ,        3 ,                      3 ,                       2 ,              2 ,                 6 ,               13 ,                3 ,               2 ,                    3 ,        0 ,          0.0 ,        1.0 ,                   0.0 ,                  1.0 ,                 0.0 ,                       0.0 ,                              1.0 ,             0.0 ,                              1.0 ,                    0.0 ,                          0.0 ,            0.0 ,                           0.0 ,                      0.0 ,                       0.0 ,                    0.0 ,                         0.0 ,                      0.0 ,                             0.0 ,                         1.0 ,                           0.0 ,                         0.0 ,                     0.0 ,                   1.0 ,                 0.0 ,                            0.0 ,        1.0 ,         0.0
